artist_id,name,genres,popularity,followers,total_streams,daily_chart_times,avg_chart_pos,top_peak_pos
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,"dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, tropical house",80,2817034,143590690.0,178.0,139.0,81.0
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,"dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",81,5136866,141235413.0,183.0,139.0,66.0
56oDRnqbIiwx4mymNEv7dS,Lizzo,"dance pop, escape room, minnesota hip hop, pop, trap queen",78,4118515,138739705.0,164.0,133.0,49.0
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",82,7181550,137123409.0,98.0,132.0,17.0
11YLRSsZA3YVuQQtHXKTlz,Rafa PabÃÂ¶n,"dominican pop, reggaeton, reggaeton flow, trap latino",71,146596,136801574.0,191.0,164.0,113.0
2DspEsT7UXGKd2VaaedgG4,Alex Rose,"latin, reggaeton, reggaeton flow, trap latino",76,2286247,136801574.0,191.0,164.0,113.0
1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,"latin, latin pop, rap latina, reggaeton, trap latino",81,6608731,135854295.0,170.0,151.0,82.0
6trIghKwHRUyxwvm66HLHH,FousheÃÂ©,indie r&b,68,126286,134054616.0,136.0,110.0,62.0
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,"adult standards, brill building pop, easy listening, lounge, rockabilly, vocal jazz",59,229800,132131675.0,46.0,97.0,3.0
2cWZOOzeOm4WmBJRnD5R7I,Normani,"dance pop, pop, post-teen pop, r&b, urban contemporary",74,1427827,131953672.0,179.0,168.0,98.0
1KP6TWI40m7p3QBTU6u2xo,BÃÂRNS,"modern alternative rock, modern rock, pop",71,1038576,129107896.0,133.0,110.0,60.0
44rJuOJLavqhY6qGgpQW4U,Harm Franklin,alberta hip hop,58,4203,125281548.0,125.0,132.0,66.0
2JbE7jUIGtpXSzytnyMg6U,Curtis Waters,,60,70006,125281548.0,125.0,132.0,66.0
38EmEgXkgK51MT2tPY0EoC,Bobby Helms,,51,20874,124474474.0,44.0,57.0,4.0
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,"eau claire indie, indie folk, melancholia",77,3061747,123479057.0,78.0,80.0,3.0
3PyJHH2wyfQK3WZrk9rpmP,Ashnikko,"alt z, electropop, escape room, pop",75,1364390,122494053.0,106.0,93.0,44.0
5KKpBU5eC2tJDzf0wmlRp2,RAYE,"dance pop, edm, house, pop, pop dance, tropical house, uk contemporary r&b, uk dance, uk pop",77,437522,121462136.0,117.0,91.0,57.0
0NIPkIjTV8mB795yEIiPYL,Wallows,"indie pop, modern rock, pop",74,2024225,121346081.0,153.0,145.0,96.0
5szJHKg5xeUlQ9pTqzdpic,Taiu,,66,1031,120804975.0,97.0,134.0,33.0
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,"argentine hip hop, bases de freestyle, trap argentino, trap latino",73,2315025,120804975.0,97.0,134.0,33.0
0shHIQr8VamXbzM66kwGQo,TATOOL,,66,1114,120804975.0,97.0,134.0,33.0
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,"argentine hip hop, r&b argentino, trap argentino, trap latino",77,1858627,119495278.0,95.0,77.0,33.0
3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,"contemporary country, country, country road",79,3611332,119229054.0,138.0,160.0,81.0
0n6sKrG0xKAf8xmdqeNGke,Los Legendarios,"reggaeton, trap latino",77,46567,119209429.0,88.0,72.0,37.0
7arQA31aZVS8yS6zUveWzb,CJ,nyc rap,72,190233,115372043.0,68.0,94.0,12.0
5WUlDfRSoLAfcVSX1WnrxN,Sia,"australian dance, australian pop, pop",86,21018914,114586290.0,77.0,119.0,9.0
4sj6D0zlMOl25nprDJBiU9,Andy Williams,"adult standards, brill building pop, easy listening, lounge, mellow gold, vocal jazz",61,379626,114028859.0,45.0,108.0,7.0
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",80,3985838,110604934.0,132.0,122.0,70.0
0NnUMWDCDi1snuMja6IdxH,Harry Nach,"trap chileno, trap latino",67,142989,109339556.0,119.0,99.0,69.0
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,modern rock,80,10938046,108604885.0,160.0,182.0,111.0
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,"colombian pop, latin, reggaeton, reggaeton colombiano",84,16605138,106530381.0,72.0,132.0,35.0
3QJUFtGBGL05vo0kCJZsmT,salem ilese,"alt z, modern indie pop, social media pop",66,142246,105030197.0,95.0,92.0,40.0
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,electro house,83,30483891,104206151.0,123.0,134.0,77.0
