track_id,name,artist_id,artist_name,popularity,explicit,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,collabs
1Xi84slp6FryDSCbzq4UCD,Arcade,3klZnJvYGIbWritVwQD434,Duncan Laurence,83,False,183624,0.45,0.329,-12.603,0.0441,0.818,0.00109,0.135,0.266,71.884,0
1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,83,False,281560,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,0
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,83,False,258342,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,0
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,"1vyhD5VmyZ7KMfW5gqLgo5,4q3ewBCX7sLwd24euuV69X","J Balvin,Bad Bunny",83,False,242573,0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,1
75JFxkI2RXiU7L9VXzMkle,The Scientist,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,83,False,309600,0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,0
3rq5w4bQGigXOfdN30ATJt,Do I Wanna Know?,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,83,False,272394,0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03,0
7MXVkk9YMctZqd1Srtv4MB,Starboy,"1Xyo4u8uXC1ZmMpatF05PJ,4tZwfgrHOc3mvqYlEYSvVi","The Weeknd,Daft Punk",83,True,230453,0.679,0.587,-7.015,0.276,0.141,6.35e-06,0.137,0.486,186.003,1
2tnVG71enUj33Ic2nFN6kZ,Ride It,4ofCBoyEiGSePFAG500xev,Regard,83,False,157605,0.88,0.751,-4.258,0.0874,0.177,6.43e-05,0.106,0.884,117.948,0
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),"246dkjvS1zLTtiykXe5h60,1URnnhqYAYcrqrcwql10ft","Post Malone,21 Savage",83,True,218146,0.585,0.52,-6.136,0.0712,0.124,7.01e-05,0.131,0.129,159.801,1
26gceVsA1ybT8qsX3aYLEn,Thunder,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,83,False,187146,0.605,0.813,-4.785,0.0448,0.00702,0.114,0.145,0.238,167.997,0
1dNyRyz1QBN9kO1etUs1PI,All Girls Are The Same,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,83,True,165819,0.673,0.449,-9.727,0.298,0.169,0.00115,0.0731,0.216,161.925,0
60a0Rd6pjrkxjPbaKzXjfq,In the End,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,83,False,216880,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,0
0JP9xo3adEtGSdUEISiszL,Moonlight,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,83,True,135090,0.921,0.537,-5.723,0.0804,0.556,0.00404,0.102,0.711,128.009,0
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,83,True,312820,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,155.008,0
5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),"0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4","Julia Michaels,Niall Horan",83,False,173306,0.516,0.467,-6.184,0.0302,0.662,0.0,0.0853,0.386,132.861,1
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,711MCceyCBcFnzjGY4Q7Un,AC/DC,83,False,208400,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,0
0UyljEbX9dqI1K0sqdv6B6,SLOW DANCING IN THE DARK,3MZsBdqDrRTJihTHQrO6Dq,Joji,83,True,209273,0.515,0.479,-7.458,0.0261,0.544,0.00598,0.191,0.284,88.964,0
5lK18Pt33xNudq4qYDxIm8,Shallow,"1HY2Jd0NmPuamShAr6KMms,4VIvfOurcf0vuLRxLkGnIG","Lady Gaga,Bradley Cooper",83,False,215733,0.572,0.385,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,1
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,2jzc5TC5TVFLXQlBNiIUzE,a-ha,83,False,225280,0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,0
1zi7xx7UVEFkmKfv06H8x0,One Dance,"3TVXtAsR1Inumwj472S9r4,3tVQdUvClmAT7URs9V3rsp,77DAFfvm3O9zT5dIoG0eIO","Drake,WizKid,Kyla",83,False,173986,0.792,0.625,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,1
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,5INjqkS1o8h1imAzPqGZBb,Tame Impala,83,True,216320,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,0
6fxVffaTuwjgEk5h9QyRjy,Photograph,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,83,False,258986,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,0
4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),"66CXWjxzNUsdJxJ2JdwvnR,1uNFoZAHBGtllmzznpCI3s","Ariana Grande,Justin Bieber",83,False,228482,0.597,0.45,-6.658,0.0418,0.223,0.0,0.382,0.537,178.765,1
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,"0H39MdGGX6dbnnQPt6NQkZ,5rGrDvrLOV2VV8SCFVGWlj","SAINt JHN,Imanbek",83,True,176840,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,1
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),"4kYSro6naA4h99UJvo89HB,181bsRPaVXVlUKXrxwZfHK","Cardi B,Megan Thee Stallion",83,True,187541,0.935,0.454,-7.509,0.375,0.0194,0.0,0.0824,0.357,133.073,1
48q0vSHcJdhK3IiXH8C5WJ,Why'd You Only Call Me When You're High?,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,83,False,161123,0.691,0.631,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,0
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,7tYKF4w9nC0nq9CsPZTHyP,SZA,83,True,279204,0.436,0.655,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002,0
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,1KP6TWI40m7p3QBTU6u2xo,BØRNS,83,False,218106,0.611,0.797,-7.627,0.0533,0.00543,0.00137,0.26,0.518,120.041,0
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,711MCceyCBcFnzjGY4Q7Un,AC/DC,83,False,255493,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,0
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),"7dGJo4pcD2V6oG8kP0tJRR,4MCBfE4596Uoi2O4DtmEMz","Eminem,Juice WRLD",83,True,210800,0.808,0.745,-5.26,0.342,0.145,0.0,0.292,0.829,165.995,1
79s5XnCN4TJKTVMSmOx8Ep,Dior,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,83,True,216386,0.548,0.805,-5.732,0.351,0.212,0.000389,0.408,0.648,142.094,0
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,83,False,202333,0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,0
1xK1Gg9SxG8fy2Ya373oqb,Bandido,"7iK8PXO48WeuP03g8YR51W,2LmcxBak1alK1bf7d1beTr","Myke Towers,Juhn",83,False,232853,0.713,0.617,-4.637,0.0887,0.122,0.0,0.0962,0.682,168.021,1
7y7w4tl4MaRC2UMEj1mPtr,Come & Go (with Marshmello),"4MCBfE4596Uoi2O4DtmEMz,64KEffDW9EtZ1y2vBYgq8T","Juice WRLD,Marshmello",83,True,205484,0.625,0.814,-5.181,0.0657,0.0172,0.0,0.158,0.535,144.991,1
3H7ihDc1dqLriiWXwsc2po,Breaking Me,"0u6GtibW46tFX7koQ6uNJZ,5Wg2b4Mp42gicxEeDNawf7","Topic,A7S",83,False,166793,0.789,0.72,-5.652,0.218,0.223,0.0,0.129,0.664,122.031,1
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),"0eDvMgVFoNV3TpwtrVCoTj,5f7VJjfbwm532GiveGC0ZK,4r63FhuTkUYltbVAg5TQnk","Pop Smoke,Lil Baby,DaBaby",83,True,190476,0.823,0.586,-6.606,0.2,0.114,0.0,0.193,0.347,125.971,1
0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,3rWZHrfrsPBxVy692yAIxF,WILLOW,83,False,196520,0.764,0.705,-5.279,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,0
7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear),"6TIYQ3jFPwQSRmorSezPxX,2cFrymmkijnjDg9SS92EPM","Machine Gun Kelly,blackbear",83,True,139460,0.731,0.675,-5.134,0.0434,0.00473,0.0,0.141,0.298,124.939,1
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,83,False,215106,0.459,0.575,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,0
45S5WTQEGOB1VHr1Q4FuPl,Golden,6KImCVD70vtIoJWnq6nGn3,Harry Styles,83,False,208906,0.448,0.838,-5.257,0.0557,0.21,0.000131,0.131,0.254,139.863,0
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,6AgTAQt8XS6jRWi4sX7w49,Polo G,83,True,132832,0.832,0.534,-7.813,0.253,0.345,0.0,0.165,0.116,93.924,0
0nbXyq5TXYPCO7pr3N8S4I,The Box,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,83,True,196652,0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,0
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,83,False,293826,0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046,0
2dpaYNEQHiRxtZbfNsse99,Happier,"64KEffDW9EtZ1y2vBYgq8T,7EQ0qTo7fWT7DPxmxtSYEc","Marshmello,Bastille",82,False,214289,0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.015,1
7a53HqqArd4b9NF4XAmlbI,Kings & Queens,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,82,False,162398,0.637,0.69,-4.057,0.0405,0.00786,0.0,0.124,0.457,129.857,0
30bqVoKjX479ab90a8Pafp,Star Shopping,2kCcBybjl3SAtIcwdWpUe3,Lil Peep,82,True,142000,0.585,0.471,-9.934,0.0616,0.0967,0.0184,0.115,0.323,93.099,0
3KYOGt8IO6j8wptkG9THag,Take Me To Church,2FXC3k01G6Gw61bmprjgqS,Hozier,82,False,241688,0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945,0
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,82,False,199986,0.726,0.787,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99,0
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,0ECwFtbIWEVNwjlrfc6xoL,Eagles,82,False,391376,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,0
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,0C0XlULifJtAgn6ZNCW2eu,The Killers,82,False,222973,0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,0
6DCZcSspjsKoFjzjrWoCdn,God's Plan,3TVXtAsR1Inumwj472S9r4,Drake,82,True,198973,0.754,0.449,-9.211,0.109,0.0332,8.29e-05,0.552,0.357,77.169,0
1mqlc0vEP9mU1kZgTi6LIQ,September,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",82,False,215093,0.693,0.911,-3.691,0.0305,0.183,0.000107,0.3,0.982,125.895,0
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,82,False,257266,0.664,0.705,-4.972,0.0382,0.0654,0.0,0.118,0.477,122.016,0
6o3QUC5oAE4g6WxRIFcZtb,Wishing Well,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,82,True,194621,0.65,0.613,-6.13,0.128,0.00336,0.0,0.267,0.0804,149.972,0
249gnXrbfmV8NG6jTEMSwD,Life Goes On,3Nrfpe0tUJi4K4DXYWgMUX,BTS,82,False,207481,0.566,0.716,-5.733,0.0424,0.00691,0.0,0.37,0.45,81.068,0
2374M0fQpWi3dLnB54qaLX,Africa,0PFtn5NtBbbUNbU9EAmIWF,TOTO,82,False,295893,0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,0
2uaiyLKnYvazyfR0Ky3Kbk,Let Me Down Slowly,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,82,False,169353,0.649,0.548,-5.692,0.0318,0.733,0.0,0.136,0.506,150.036,0
4Hf7WnR761jpxPr5D46Bcd,Treat You Better,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,82,False,187973,0.624,0.803,-4.105,0.246,0.123,0.0,0.114,0.821,166.018,0
2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better,5JZ7CnR6gTvEMKX4g70Amv,Lauv,82,False,197436,0.752,0.505,-7.621,0.253,0.535,2.55e-06,0.104,0.419,91.97,0
2gam98EZKrF9XuOkU13ApN,Promiscuous,"2jw70GZXlAI8QzWeY2bgRc,5Y5TRrQiqgUO4S36tzjIRZ","Nelly Furtado,Timbaland",82,False,242293,0.808,0.97,-6.098,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,1
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),"3TVXtAsR1Inumwj472S9r4,3hcs9uc56yIGFCSy9leWe7","Drake,Lil Durk",82,True,261492,0.761,0.518,-8.871,0.134,0.244,3.47e-05,0.107,0.522,133.976,1
5Db9VIdDsN5yu3Eu7CT0i4,Stay With Me,2wY79sveU1sp5g7SokKOiI,Sam Smith,82,False,172723,0.479,0.419,-6.517,0.0389,0.568,0.000217,0.11,0.186,85.014,0
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"0EmeFodog0BfCgMzAIvKQp,7aBzpmFXB4WWpPl2F7RjBe","Shakira,Wyclef Jean",82,False,218093,0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,1
