artist_id,name,genres,followers,popularity
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"permanent wave,pop",32019548,90
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"big room,dance pop,edm,pop,pop dance,pop rap",23227689,90
1RyvyyTE3xzB2ZywiAwp0i,Future,"atl hip hop,pop rap,rap,southern hip hop,trap",10678838,90
7iK8PXO48WeuP03g8YR51W,Myke Towers,trap latino,6745120,90
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,"emo rap,miami hip hop",31076473,89
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,"latin,puerto rican pop,reggaeton,trap latino",29819475,89
1r4hJ1h58CWwUQe3MxPuau,Maluma,"latin,reggaeton,reggaeton colombiano",27666298,89
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"conscious hip hop,hip hop,rap,west coast rap",18419505,89
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"conscious hip hop,hip hop,north carolina hip hop,rap",14603690,89
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,"dance pop,pop,pop rap,r&b,rap",14415597,89
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"melodic rap,philly rap,rap,trap",12118739,89
55Aa2cqylxrFIXC767Z865,Lil Wayne,"hip hop,new orleans rap,pop rap,rap,trap",10919732,89
77ziqFxp5gaInVrF2lj4ht,Sech,"latin,panamanian pop,reggaeton,trap latino",9206232,89
4r63FhuTkUYltbVAg5TQnk,DaBaby,"north carolina hip hop,rap",8089608,89
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,brooklyn drill,7646196,89
50co4Is1HCEo8bhOyUWKpn,Young Thug,"atl hip hop,atl trap,gangster rap,hip hop,melodic rap,pop rap,rap,trap",6543812,89
6AgTAQt8XS6jRWi4sX7w49,Polo G,chicago rap,5336043,89
0EFisYRi20PTADoJrifHrz,Jhay Cortez,"latin,reggaeton,trap latino",2706397,89
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,"deep underground hip hop,kentucky hip hop,pop rap,rap",1202638,89
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,"modern rock,pop,rock",36081513,88
04gDigrS5kc9YWfZHwBETP,Maroon 5,"pop,pop rock",33200206,88
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,"latin,latin hip hop,reggaeton,trap latino",24484741,88
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,"dance pop,hip pop,pop,pop rap,queens hip hop",22716806,88
2R21vXR83lH98kGeO99Y66,Anuel AA,"latin,reggaeton,reggaeton flow,trap boricua,trap latino",18980539,88
790FomKkXshlbRYZFtlgla,KAROL G,"latin,reggaeton,reggaeton colombiano,trap latino",18875519,88
6LuN9FCkKOj5PcnpouEgny,Khalid,"pop,pop r&b",14391575,88
1URnnhqYAYcrqrcwql10ft,21 Savage,"atl hip hop,hip hop,rap,trap",10188717,88
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,"melodic rap,rap,trap",6700801,88
3hcs9uc56yIGFCSy9leWe7,Lil Durk,"chicago drill,chicago rap,drill,hip hop,rap,trap",3035844,88
1dfeR4HaWDbWqFHLkxsg1d,Queen,"classic rock,glam rock,rock",37022707,87
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,"canadian pop,dance pop,pop,viral pop",34702918,87
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,"boy band,pop,post-teen pop,talent show",23259760,87
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"dance pop,pop",19357840,87
26VFTg2z8YR0cCuwLzESi2,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop",16110190,87
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,"latin,latin hip hop,reggaeton,trap latino",15236611,87
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,"hip hop,pop,pop rap,r&b,southern hip hop,trap,trap soul",3936370,87
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"atl hip hop,hip hop,melodic rap,rap,trap",3495362,87
64KEffDW9EtZ1y2vBYgq8T,Marshmello,"brostep,edm,pop,pop dance,progressive electro house",32146935,86
7CajNmpbOovFoOoasH2HaY,Calvin Harris,"dance pop,edm,electro house,house,pop,progressive house,uk dance",22169481,86
5WUlDfRSoLAfcVSX1WnrxN,Sia,"australian dance,australian pop,pop",21056836,86
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",20728945,86
4kYSro6naA4h99UJvo89HB,Cardi B,"dance pop,pop,pop rap,rap",18090996,86
2wY79sveU1sp5g7SokKOiI,Sam Smith,"dance pop,pop,uk pop",17631250,86
6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,16971880,86
3PhoLpVuITZKcymswpck5b,Elton John,"glam rock,mellow gold,piano rock",7865980,86
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,"baton rouge rap,trap",7603169,86
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator","hip hop,rap",7070738,86
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"east coast hip hop,hip hop,rap",6592421,86
7tYKF4w9nC0nq9CsPZTHyP,SZA,"pop,r&b,rap",6257002,86
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,"houston rap,pop,trap queen",5194301,86
14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,"latin,reggaeton,trap latino",2992147,86
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,"dance pop,pop,post-teen pop",30179689,85
6vWDO969PvNqNYHIOW5v0m,Beyoncé,"dance pop,pop,r&b",29012079,85
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,"dance pop,pop,post-teen pop",23567429,85
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,"alternative metal,nu metal,post-grunge,rap metal",20094336,85
6jJ0s89eD6GaHleKKya26X,Katy Perry,"dance pop,pop,post-teen pop",19410159,85
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,"dance pop,pop,post-teen pop",16240083,85
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,"art pop,pop",14147298,85
28gNT5KBp7IjEOQoevXf9N,Camilo,"colombian pop,reggaeton colombiano",11579949,85
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,"dance pop,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap",10170703,85
0TnOYISbd1XYRBk9myaseg,Pitbull,"dance pop,latin,miami hip hop,pop,pop rap",8741613,85
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,"emo rap,lgbtq+ hip hop",7897658,85
4LLpKhyESsyAXpc4laK94U,Mac Miller,"hip hop,pittsburgh rap,rap",6404097,85
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,"atl hip hop,hip hop,plugg,rap,trap",5229161,85
1bAftSH8umNcGZ0uyV7LMg,Duki,"argentine hip hop,trap argentino,trap latino,trap triste",4646331,85
2cFrymmkijnjDg9SS92EPM,blackbear,"pop,pop rap",4387240,85
