artist_id,name,genres,followers,popularity,danceability,energy,tempo,valence,loudness,speechiness,liveness,acousticness,instrumentalness
2R21vXR83lH98kGeO99Y66,Anuel AA,"latin,reggaeton,reggaeton flow,trap boricua,trap latino",18980539,88,0.76,0.73,125.45,0.62,-4.48,0.12,0.16,0.31,0.0
790FomKkXshlbRYZFtlgla,KAROL G,"latin,reggaeton,reggaeton colombiano,trap latino",18875519,88,0.77,0.74,134.74,0.62,-4.45,0.11,0.17,0.23,0.0
6LuN9FCkKOj5PcnpouEgny,Khalid,"pop,pop r&b",14391575,88,0.62,0.54,109.0,0.36,-8.08,0.11,0.16,0.32,0.09
1URnnhqYAYcrqrcwql10ft,21 Savage,"atl hip hop,hip hop,rap,trap",10188717,88,0.81,0.56,130.74,0.4,-7.11,0.27,0.18,0.13,0.05
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,"melodic rap,rap,trap",6700801,88,0.68,0.62,125.9,0.42,-6.6,0.11,0.17,0.22,0.0
3hcs9uc56yIGFCSy9leWe7,Lil Durk,"chicago drill,chicago rap,drill,hip hop,rap,trap",3035844,88,0.81,0.57,141.52,0.49,-7.86,0.29,0.13,0.13,0.0
1dfeR4HaWDbWqFHLkxsg1d,Queen,"classic rock,glam rock,rock",37022707,87,0.53,0.58,105.04,0.46,-7.7,0.07,0.29,0.34,0.02
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,"canadian pop,dance pop,pop,viral pop",34702918,87,0.63,0.56,125.61,0.55,-6.98,0.09,0.16,0.32,0.0
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,"boy band,pop,post-teen pop,talent show",23259760,87,0.62,0.7,119.82,0.56,-5.03,0.05,0.13,0.16,0.0
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"dance pop,pop",19357840,87,0.64,0.71,113.55,0.43,-5.49,0.05,0.33,0.16,0.07
26VFTg2z8YR0cCuwLzESi2,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop",16110190,87,0.62,0.65,121.01,0.39,-5.76,0.07,0.17,0.13,0.0
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,"latin,latin hip hop,reggaeton,trap latino",15236611,87,0.72,0.73,141.25,0.71,-4.28,0.12,0.18,0.21,0.0
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,"hip hop,pop,pop rap,r&b,southern hip hop,trap,trap soul",3936370,87,0.72,0.62,121.52,0.45,-6.3,0.12,0.2,0.12,0.0
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"atl hip hop,hip hop,melodic rap,rap,trap",3495362,87,0.83,0.59,126.01,0.46,-7.1,0.2,0.17,0.14,0.0
