track_id,name,artist_id,artist_name,genres,popularity,explicit,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,collabs
2kJu14V7hbZw3I4K8L8SXb,Stupid Love,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"dance pop,pop",73,FALSE,193533,0.676,0.815,-4.294,0.0625,0.00146,0.00041,0.275,0.796,117.973,0
4RVtBlHFKj51Ipvpfv5ER4,Drown (feat. Clinton Kane),"60d24wfXkVzDSfLS6hyCjZ,7okSU80WTrn4LXlyXYbX3P","Martin Garrix,Clinton Kane","dance pop,dutch edm,edm,pop,pop dance,progressive house,tropical house,alt z,pop",73,FALSE,174062,0.573,0.739,-5.455,0.0581,0.212,0.0,0.175,0.363,120.077,1
0Qh38w01QRXK6KHIv0e3hb,What About Us,1KCSPY1glIKqW2TotWuXOR,P!nk,"dance pop,pop",73,FALSE,269600,0.491,0.588,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,0
7sOfmPd18RWp3FoCzpa7Kw,Soliá,4q3ewBCX7sLwd24euuV69X,Bad Bunny,"latin,reggaeton,trap latino",73,TRUE,159282,0.71,0.81,-5.507,0.0854,0.117,0.000132,0.154,0.184,92.041,0
6MF4tRr5lU8qok8IKaFOBE,Under The Sun (with J. Cole & Lute feat. DaBaby),"1iNqsUDUraNWrj00bqssQG,6l3HvQ5sa6mXTsMTB19rO5,75WcpJKWXBV3o3cfluWapK,4r63FhuTkUYltbVAg5TQnk","Dreamville,J. Cole,Lute,DaBaby","hip hop,rap,underground hip hop,conscious hip hop,hip hop,north carolina hip hop,rap,north carolina hip hop,underground hip hop,north carolina hip hop,rap",73,TRUE,202040,0.691,0.64,-6.441,0.369,0.511,0.0,0.409,0.163,138.672,1
3kW4z2pIj5VY5fLjBrMRL5,P2,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"melodic rap,philly rap,rap,trap",73,TRUE,234626,0.775,0.72,-5.353,0.193,0.0236,0.0,0.114,0.49,155.086,0
2CvOqDpQIMw69cCzWqr5yr,Halo,6vWDO969PvNqNYHIOW5v0m,Beyoncé,"dance pop,pop,r&b",73,FALSE,261160,0.422,0.712,-5.907,0.1,0.273,0.0,0.051,0.471,78.454,0
7zVCrzzEJU7u24sbJPXA5W,What Ifs (feat. Lauren Alaina),"3oSJ7TBVCWMDMiYjXNiCKE,1v3tdpIdBSW14rHUfiEVOv","Kane Brown,Lauren Alaina","contemporary country,country,country road,contemporary country,country,country dawn,country pop,country road,modern country rock",73,FALSE,188253,0.612,0.799,-4.603,0.0275,0.00898,0.0,0.172,0.687,125.976,1
6lOWoTqVnAWXchddtTH31W,Leave a Light On,7z2avKuuiMAT4XZJFv8Rvh,Tom Walker,"indie anthem-folk,modern rock,pop,uk pop",73,FALSE,185863,0.586,0.624,-5.946,0.113,0.0153,1.78e-06,0.133,0.267,68.976,0
5xS9hkTGfxqXyxX6wWWTt4,Mary Jane's Last Dance,4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,"album rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,roots rock,soft rock",73,FALSE,273600,0.451,0.669,-9.033,0.0651,0.0267,0.0,0.153,0.523,169.632,0
7gSQv1OHpkIoAdUiRLdmI6,I Won't Back Down,2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock",73,FALSE,178360,0.765,0.476,-13.487,0.0329,0.0504,2.76e-06,0.165,0.965,114.02,0
