artist_id,followers,genres,popularity,name
1AL2GKpmRrKXkYIcASuRFa,10105989,forro,79,Wesley Safaḍo
07YZf4WDAMNwqr4jfgOZ8y,10071170,"dance pop, pop, post-teen pop",84,Jason Derulo
0X2BH1fck6amBIoJhDVmmJ,9955955,"dance pop, edm, electropop, indietronica, metropopolis, pop, uk pop",80,Ellie Goulding
2QsynagSdAqZj3U9HgDzjD,9945275,"reggae, roots reggae",80,Bob Marley & The Wailers
13ubrt8QOOCPljQ2FL1Kca,9889014,"east coast hip hop, hip hop, rap, trap",83,A$AP Rocky
58lV9VcRSjABbAbfWS6skp,9876994,"glam metal, rock",79,Bon Jovi
26dSoYclwsYLMAKD3tpOr4,9734901,"dance pop, pop, post-teen pop",82,Britney Spears
4V8Sr092TqfHkfAA5fXXqG,9690737,"latin, latin pop, puerto rican pop",79,Luis Fonsi
3e7awlrlDSwF3iM0WBjGMp,9577263,"dance pop, girl group, pop, post-teen pop, talent show, uk pop",83,Little Mix
2wUjUUtkb5lvLKcGKsKqsR,9418374,"canadian contemporary r&b, canadian pop, dance pop, electropop, pop, post-teen pop",78,Alessia Cara
59jlthNnbmim5l9tmNA7se,9404433,"sertanejo, sertanejo pop, sertanejo universitario",76,Maiara & Maraisa
1Xylc3o4UrD53lo9CvFvVg,9250025,"dance pop, edm, electropop, pop, pop dance, post-teen pop, scandipop, swedish electropop, swedish pop, tropical house",78,Zara Larsson
77ziqFxp5gaInVrF2lj4ht,9171138,"latin, panamanian pop, reggaeton, trap latino",89,Sech
2Z0lRIqr997lIUiPtrpKCr,9153784,"pop nacional, sertanejo pop, sertanejo universitario",78,Matheus & Kauan
7jy3rLJdDQY21OgRLCZ9sD,9142495,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",78,Foo Fighters
23zg3TcAtWQy7J6upgbUnj,9065230,"atl hip hop, dance pop, pop, r&b, south carolina hip hop, urban contemporary",81,Usher
4UXqAaa6dQYAk18Lv7PEgX,9060689,"emo, modern rock, rock",80,Fall Out Boy
2gsggkzM5R49q6jpPvazou,9057036,"dance pop, pop, post-teen pop",74,Jessie J
