track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,November_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7wlVp1Tpmci5q9368PAgAN,1,148.0,148.0,148385.0,,,,,,,,,,,,148385.0,23,False,EntÃ£o Ã Natal (Happy X-Mas)(War Is Over),Simone,0sgV4klGs1Y1dgbBi28JlD,0.224,0.518,0.0,-7.788,1.0,0.0303,0.0673,0.0,0.0936,0.244,52.989,256173.0,4.0
0ono6UCNVZ1XqOm6j78Blu,1,118.0,118.0,148153.0,,,148153.0,,,,,,,,,,79,False,Filter,BTS,3Nrfpe0tUJi4K4DXYWgMUX,0.781,0.762,10.0,-5.188,0.0,0.0626,0.0222,0.0,0.121,0.86,110.042,180221.0,4.0
3H9s3SGfhDnzAisP61Tds8,1,150.0,150.0,148022.0,,,,,,,,,,,,148022.0,45,True,Dingo Bell Sou Seu Papai Noel,MC Teteu,2pV4eqEWsHrgwSbuAg2fmi,0.906,0.363,8.0,-9.272,0.0,0.166,0.141,0.00926,0.0891,0.77,129.777,166154.0,4.0
3w9VRlKPvNxj40RdUGRweH,1,116.0,116.0,147519.0,,,,,,,,,,,,147519.0,52,False,dorothea,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.607,0.488,4.0,-8.329,1.0,0.0264,0.694,0.0,0.129,0.361,119.953,225880.0,4.0
3XSefjiSHsD34F7clH84xa,2,192.0,194.0,147203.0,,,,,147203.0,,,,,,,,25,False,O Que Falta Em VocÃª Sou Eu - Ao Vivo,MarÃ­lia MendonÃ§a,1yR65psqiazQpeM79CcGh8,0.67,0.671,0.0,-5.214,1.0,0.0391,0.134,0.0,0.178,0.533,143.941,197917.0,4.0
4ewlDzSnh67tWEFx24JXsI,1,113.0,113.0,146349.0,,,,,,,,,,146349.0,,,53,False,BÃ©same Sin Miedo,"RBD, AnahÃ­, Dulce MarÃ­a, Maite Perroni, Christian ChÃ¡vez, Christopher von Uckermann, Alfonso Herrera","7cjh6y0V9SsyCrWSXTzwOs, 0TeVa4xdLB8vdzjsvKH6Ri, 6kaefrHSdAvxhhCVDFTCEL, 6ModsWtBph2rE6zCTVxvZt, 0aMqt2uGLuHj4eI8oXgVzN, 5O8cudluftNZ6PCwRzvYxo, 0veZkZPeWoJQ9gt6VAXlkN",0.632,0.96,4.0,-4.589,1.0,0.049,0.121,0.0,0.258,0.662,103.954,211747.0,4.0
4HvE2E9rXJDcQhE4YfeNuG,1,88.0,88.0,145623.0,,,,,,,,,,,145623.0,,66,False,Let Me Love You Like A Woman,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,0.403,0.245,0.0,-11.862,1.0,0.0569,0.969,4.74e-05,0.119,0.148,128.333,200661.0,4.0
3BQmLUIDmkHMJ4O41pcfkO,1,116.0,116.0,143659.0,,,,,,,,,,143659.0,,,50,False,QuÃ© Fue Del Amor,"RBD, AnahÃ­, Dulce MarÃ­a, Maite Perroni, Christian ChÃ¡vez, Christopher von Uckermann, Alfonso Herrera","7cjh6y0V9SsyCrWSXTzwOs, 0TeVa4xdLB8vdzjsvKH6Ri, 6kaefrHSdAvxhhCVDFTCEL, 6ModsWtBph2rE6zCTVxvZt, 0aMqt2uGLuHj4eI8oXgVzN, 5O8cudluftNZ6PCwRzvYxo, 0veZkZPeWoJQ9gt6VAXlkN",0.528,0.876,0.0,-3.798,1.0,0.0304,0.231,0.0,0.124,0.963,207.798,225067.0,4.0
4v8jmsVox8VwU5js3JHOJZ,1,112.0,112.0,142828.0,,142828.0,,,,,,,,,,,64,False,Gimme What I Want,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,0.659,0.765,0.0,-5.392,0.0,0.0591,0.0428,0.0,0.0783,0.41,89.983,151720.0,4.0
4tyX1rw9X309WkEdh2As4B,1,122.0,122.0,142335.0,,,,,,,,,,,,142335.0,53,False,coney island (feat. The National),"Taylor Swift, The National","06HL4z0CvFAxyc27GXpf02, 2cCUtGK9sDU2EoElnk0GNB",0.529,0.536,8.0,-11.269,1.0,0.0627,0.826,0.00082,0.141,0.304,107.873,275320.0,4.0
0ECs7wpW9157Tk5yBUGbE0,1,55.0,55.0,142068.0,,,,,,,142068.0,,,,,,49,True,Alright,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,0.783,0.761,7.0,-5.53,1.0,0.195,0.0864,0.0,0.643,0.674,110.033,194490.0,4.0
486DiCBGlYNjazRAOUeffI,1,66.0,66.0,141071.0,,,,141071.0,,,,,,,,,35,False,Ponte Perra,Pabllo Vittar,6tzRZ39aZlNqlUzQlkuhDV,0.733,0.662,10.0,-6.705,0.0,0.242,0.0691,2.05e-05,0.0902,0.382,175.853,133373.0,4.0
7MbT4I8qGntX4fMdqMQgke,1,95.0,95.0,140342.0,,,,,,,,140342.0,,,,,67,True,peace,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.647,0.272,5.0,-12.906,1.0,0.0916,0.918,1.73e-05,0.0918,0.339,150.044,234000.0,4.0
7nZXhlDto9K0QaOFvq2xeZ,2,183.0,190.0,139956.0,,,,,139956.0,,,,,,,,55,False,Milu - Ao Vivo,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,0.757,0.938,2.0,-2.581,1.0,0.0906,0.349,3.62e-05,0.515,0.629,125.024,257954.0,4.0
4nraNqonMyfc0U3o8VeXVu,2,151.0,172.0,139826.0,,,,,,139826.0,,,,,,,65,False,Ocean,"Alok, Zeeba, iRO","0NGAZxHanS9e0iNHpR8f2W, 7qPLO2XOUaRrRxkvLZ3AEK, 3TNpNnN7Y8QhtJJnQ08YeF",0.655,0.684,0.0,-5.18,1.0,0.0269,0.197,0.0036,0.278,0.27,110.037,174002.0,4.0
6UNeB5gXHBfQGvfmER9Qcb,1,126.0,126.0,137263.0,,,,,,,,,,137263.0,,,47,False,A Tu Lado,"RBD, AnahÃ­, Dulce MarÃ­a, Maite Perroni, Christian ChÃ¡vez, Christopher von Uckermann, Alfonso Herrera","7cjh6y0V9SsyCrWSXTzwOs, 0TeVa4xdLB8vdzjsvKH6Ri, 6kaefrHSdAvxhhCVDFTCEL, 6ModsWtBph2rE6zCTVxvZt, 0aMqt2uGLuHj4eI8oXgVzN, 5O8cudluftNZ6PCwRzvYxo, 0veZkZPeWoJQ9gt6VAXlkN",0.494,0.926,3.0,-3.526,1.0,0.0583,0.396,0.0,0.0931,0.538,78.054,228147.0,4.0
15xT6IkTumRGbbSim0t11u,1,136.0,136.0,137122.0,,,137122.0,,,,,,,,,,71,False,Louder than bombs,BTS,3Nrfpe0tUJi4K4DXYWgMUX,0.643,0.667,0.0,-6.993,0.0,0.152,0.0433,0.0,0.0904,0.485,145.999,217404.0,4.0
