genre,total_genre_streams,number_of_tracks,number_of_artists
bachata,30945042.0,1.0,1.0
quiet storm,30370102.0,8.0,5.0
complextro,30104947.0,3.0,2.0
cumbia pop,28675743.0,1.0,1.0
trip hop,28643680.0,1.0,1.0
experimental r&b,28643680.0,1.0,1.0
alternative rock,28268403.0,9.0,3.0
show tunes,27715670.0,2.0,1.0
future house,27108406.0,1.0,1.0
k-rap,26844930.0,10.0,2.0
modern country rock,25464301.0,2.0,1.0
london rap,25366971.0,3.0,2.0
dmv rap,25053787.0,12.0,3.0
dance rock,24945641.0,5.0,3.0
girl group,24494551.0,8.0,2.0
canadian latin,24142092.0,1.0,1.0
chinese electropop,23954074.0,1.0,1.0
filter house,23846170.0,1.0,1.0
german alternative rap,23600968.0,1.0,1.0
uk alternative hip hop,22849318.0,2.0,2.0
metal,21485420.0,9.0,3.0
aesthetic rap,21344764.0,1.0,1.0
belgian hip hop,20824677.0,13.0,2.0
rap belge,20824677.0,13.0,2.0
venezuelan hip hop,20475885.0,1.0,1.0
italian adult pop,19901964.0,5.0,6.0
torch song,19314694.0,4.0,4.0
ukg revival,19092160.0,2.0,1.0
dutch hip hop,18897639.0,5.0,5.0
heartland rock,18806609.0,5.0,4.0
indie rock,18714986.0,4.0,3.0
pop lgbtq+ brasileira,16854931.0,3.0,3.0
new york drill,16599233.0,2.0,1.0
oklahoma country,16305567.0,2.0,2.0
boom bap,15560879.0,2.0,2.0
stomp and holler,15465547.0,1.0,1.0
deep german hip hop,14612217.0,4.0,2.0
electro latino,14538112.0,1.0,1.0
champeta,14538112.0,1.0,1.0
british soul,14356364.0,2.0,2.0
birmingham metal,13651653.0,2.0,1.0
garage rock,13556520.0,7.0,2.0
g funk,12991854.0,3.0,3.0
rap metal,11816086.0,4.0,2.0
nu metal,11816086.0,4.0,2.0
alternative metal,11816086.0,4.0,2.0
norteno,11248250.0,1.0,1.0
banda,11248250.0,1.0,1.0
corrido,11248250.0,1.0,1.0
funk 150 bpm,11061157.0,4.0,5.0
post-romantic era,10580438.0,1.0,1.0
ukrainian classical,10580438.0,1.0,1.0
soundtrack,10580438.0,1.0,1.0
shiver pop,10494531.0,2.0,1.0
gauze pop,10494531.0,2.0,1.0
britpop,10237932.0,1.0,1.0
madchester,10237932.0,1.0,1.0
country dawn,10231630.0,4.0,3.0
rap boricua,9817837.0,1.0,1.0
post-grunge,9726830.0,2.0,1.0
indie soul,9402119.0,4.0,3.0
rap napoletano,9318419.0,3.0,3.0
southern soul,9264592.0,2.0,2.0
classic soul,9264592.0,2.0,2.0
sheffield indie,9171978.0,3.0,2.0
chicago bop,8812324.0,1.0,1.0
german singer-songwriter,8572460.0,2.0,2.0
australian rock,8361099.0,4.0,1.0
a cappella,8216971.0,2.0,1.0
battle rap,8026109.0,2.0,2.0
forro de favela,7944280.0,1.0,1.0
jazz blues,7751535.0,2.0,1.0
singer-songwriter,7584990.0,2.0,2.0
dutch rap pop,7531229.0,4.0,4.0
comedy rap,7383970.0,1.0,1.0
german underground rap,7290269.0,2.0,1.0
classic uk pop,7279724.0,2.0,2.0
christlicher rap,7220239.0,3.0,1.0
albanian hip hop,7000634.0,3.0,3.0
classic country pop,6979311.0,3.0,2.0
rap kreyol,6925842.0,1.0,1.0
psychedelic rock,6908138.0,1.0,1.0
sunshine pop,6908138.0,1.0,1.0
baroque pop,6908138.0,1.0,1.0
christmas instrumental,6835685.0,2.0,1.0
jazz trio,6835685.0,2.0,1.0
melodic metalcore,6650104.0,5.0,1.0
uk metalcore,6650104.0,5.0,1.0
metalcore,6650104.0,5.0,1.0
afropop,6569203.0,5.0,4.0
r&b brasileiro,6509509.0,3.0,1.0
trap brasileiro,6509509.0,3.0,1.0
rap cearense,6509509.0,3.0,1.0
italo dance,6465304.0,2.0,2.0
german indie,6291774.0,1.0,1.0
jazz funk,6278552.0,1.0,1.0
seattle hip hop,6044298.0,1.0,1.0
bubblegum dance,5853504.0,1.0,1.0
turkish hip hop,5732971.0,4.0,2.0
transpop,5727398.0,1.0,1.0
chicago soul,5724592.0,1.0,1.0
batidao romantico,5683566.0,2.0,2.0
italian underground hip hop,5556825.0,3.0,2.0
italian indie pop,4515830.0,3.0,3.0
italian reggae,4467903.0,1.0,1.0
italian pop rock,4467903.0,1.0,1.0
virginia hip hop,4075187.0,1.0,1.0
halloween,4041570.0,2.0,2.0
lilith,4038522.0,1.0,1.0
ghanaian hip hop,3709345.0,2.0,1.0
swedish dancehall,3709345.0,2.0,1.0
yodeling,3676080.0,1.0,1.0
cowboy western,3676080.0,1.0,1.0
traditional country,3676080.0,1.0,1.0
memphis soul,3540000.0,1.0,1.0
soul blues,3540000.0,1.0,1.0
old school rap francais,3486861.0,2.0,1.0
bubblegum pop,3437244.0,1.0,1.0
musica jibara,3367001.0,1.0,1.0
puerto rican folk,3367001.0,1.0,1.0
canadian country,3339205.0,1.0,1.0
la indie,3320006.0,3.0,2.0
texas country,3198606.0,2.0,2.0
vancouver indie,3008706.0,1.0,1.0
post-disco,2980981.0,1.0,1.0
turkish trap pop,2957236.0,2.0,1.0
brega romantico,2844813.0,1.0,1.0
pop teen brasileiro,2844813.0,1.0,1.0
turkish trap,2775735.0,2.0,1.0
trap funk,2705514.0,1.0,1.0
